tilde_eps,beta0,sigma,branch
0.3735366484343988,932.7201073808783,0.0,forward
0.3739104868198462,933.4272128247703,0.0,forward
0.37428453063464867,934.1343182702909,0.0,forward
0.3746587798074311,934.8414237174366,0.0,forward
0.37503323426685076,935.5485291662038,0.0,forward
0.37540789394194907,936.2556346165891,0.0,forward
0.37578275876191053,936.9627400685889,0.0,forward
0.376157828656066,937.6698455221999,0.0,forward
0.37653310355399283,938.3769509774186,0.0,forward
0.3769085833854757,939.0840564342415,0.0,forward
0.37728426808044757,939.7911618926652,0.0,forward
0.37766015756918786,940.4982673526862,0.0,forward
0.3780362517820274,941.2053728143011,0.0,forward
0.37841255064949786,941.9124782775066,0.0,forward
0.37878905410240704,942.6195837422991,0.0,forward
0.37916576207168484,943.3266892086755,0.0,forward
0.37954267448855944,944.0337946766322,0.0,forward
0.3799197912843188,944.7409001461658,0.0,forward
0.38029711239056346,945.448005617273,0.0,forward
0.38067463773895954,946.1551110899505,0.0,forward
0.38105236726154385,946.862216564195,0.0,forward
0.3814303008903246,947.569322040003,0.0,forward
0.3818084385576766,948.2764275173713,0.0,forward
0.3821867801961049,948.9835329962966,0.0,forward
0.38256532573832586,949.6906384767756,0.0,forward
0.382944075117153,950.3977439588049,0.0,forward
0.38332302826562537,951.1048494423814,0.0,forward
0.3837021851170944,951.8119549275016,0.0,forward
0.3840815456049257,952.5190604141624,0.0,forward
0.38446110966274777,953.2261659023604,0.0,forward
0.38484087722435956,953.9332713920926,0.0,forward
0.38522084822376046,954.6403768833557,0.0,forward
0.38560102259507606,955.3474823761463,0.0,forward
0.38598140027271255,956.0545878704613,0.0,forward
0.386361981191174,956.7616933662975,0.0,forward
0.38674276528512813,957.4687988636517,0.0,forward
0.38712375248946046,958.1759043625207,0.0,forward
0.3875049427393029,958.8830098629013,0.0,forward
0.3878863359698369,959.5901153647903,0.0,forward
0.3882679321164866,960.2972208681847,0.0,forward
0.38864973111481105,961.0043263730812,0.0,forward
0.38903173290065984,961.7114318794767,0.0,forward
0.3894139374098731,962.418537387368,0.0,forward
0.38979634457860846,963.1256428967521,0.0,forward
0.39017895434318295,963.8327484076258,0.0,forward
0.3905617666399757,964.5398539199861,0.0,forward
0.3909447814056419,965.2469594338297,0.0,forward
0.39132799857703654,965.9540649491538,0.0,forward
0.3917114180910266,966.6611704659551,0.0,forward
0.39209503988485583,967.3682759842306,0.0,forward
0.392478863895705,968.0753815039773,0.0,forward
0.3928628900611576,968.782487025192,0.0,forward
0.3932471183187752,969.4895925478718,0.0,forward
0.3936315486063808,970.1966980720135,0.0,forward
0.39401618086195245,970.9038035976142,0.0,forward
0.39440101502360786,971.6109091246709,0.0,forward
0.39478605102965936,972.3180146531805,0.0,forward
0.39517128881851027,973.0251201831401,0.0,forward
0.39555672832885264,973.7322257145466,0.0,forward
0.3959423694994349,974.4393312473971,0.0,forward
0.39632821226922166,975.1464367816886,0.0,forward
0.39671425657726295,975.8535423174181,0.0,forward
0.39710050236287203,976.5606478545827,0.0,forward
0.39748694956543434,977.2677533931794,0.0,forward
0.3978735981245436,977.9748589332054,0.0,forward
0.39826044797995647,978.6819644746575,0.0,forward
0.39864749907158264,979.3890700175331,0.0,forward
0.39903475133939353,980.096175561829,0.0,forward
0.3994222047236753,980.8032811075424,0.0,forward
0.399809859164741,981.5103866546704,0.0,forward
0.40019771460313686,982.2174922032101,0.0,forward
0.4005857709794715,982.9245977531587,0.0,forward
0.40097402823466827,983.6317033045132,0.0,forward
0.40136248630958443,984.3388088572707,0.0,forward
0.40175114514542104,985.0459144114285,0.0,forward
0.4021400046834164,985.7530199669836,0.0,forward
0.40252906486504225,986.4601255239332,0.0,forward
0.4029183256318379,987.1672310822746,0.0,forward
0.4033077869255778,987.8743366420048,0.0,forward
0.40369744868804824,988.581442203121,0.0,forward
0.4040873108613508,989.2885477656205,0.0,forward
0.40447737338762063,989.9956533295004,0.0,forward
0.404867636209136,990.702758894758,0.0,forward
0.40525809926841516,991.4098644613904,0.0,forward
0.40564876250804976,992.1169700293948,0.0,forward
0.4060396258708062,992.8240755987686,0.0,forward
0.4064306892995496,993.5311811695088,0.0,forward
0.4068219527373703,994.2382867416129,0.0,forward
0.4072134161273677,994.9453923150779,0.0,forward
0.40760507941292035,995.6524978899013,0.0,forward
0.40799694253755114,996.3596034660801,0.0,forward
0.40838900544473145,997.0667090436118,0.0,forward
0.4087812680783405,997.7738146224935,0.0,forward
0.4091737303821957,998.4809202027227,0.0,forward
0.40956639230032,999.1880257842965,0.0,forward
0.40995925377695835,999.8951313672123,0.0,forward
0.4103523147563054,1000.6022369514675,0.0,forward
0.4107455751829082,1001.3093425370593,0.0,forward
0.4111390350013085,1002.0164481239849,0.0,forward
0.4115326941562096,1002.7235537122418,0.0,forward
0.41192655259248306,1003.4306593018274,0.0,forward
0.41232061025508343,1004.1377648927389,0.0,forward
0.4127148670892093,1004.8448704849737,0.0,forward
0.4131093230400621,1005.5519760785293,0.0,forward
